Time(s),Coverage(%),Number of running robots
1747819241.9,58.88,8
1747819242.9,58.88,8
1747819243.9,58.88,8
1747819244.9,58.88,8
1747819245.9,58.88,8
1747819247.0,58.88,8
1747819248.0,58.88,8
1747819249.1,58.88,8
1747819250.2,58.88,8
1747819251.3,58.88,8
1747819252.3,58.88,8
1747819253.4,58.88,8
1747819254.4,58.88,8
1747819255.4,58.89,8
1747819256.4,58.89,8
1747819257.4,58.89,8
1747819258.4,58.89,8
1747819259.5,58.89,8
1747819260.5,58.89,8
1747819261.5,58.89,8
1747819262.5,58.89,8
1747819263.6,58.89,8
1747819264.7,58.89,8
1747819265.8,58.89,8
1747819266.8,58.89,8
1747819267.8,58.89,8
1747819268.9,58.89,8
1747819269.9,58.89,8
1747819270.9,58.90,8
1747819271.9,58.90,8
1747819272.9,58.90,8
1747819273.9,58.90,8
1747819274.9,58.90,8
1747819275.9,58.90,8
1747819276.9,58.90,8
1747819277.9,58.90,8
1747819279.0,58.90,8
1747819280.0,58.90,8
1747819281.0,58.90,8
1747819282.0,58.90,8
1747819283.0,58.90,8
1747819284.0,58.90,8
1747819285.0,58.90,8
1747819286.0,58.90,8
1747819287.0,58.90,8
1747819288.0,58.90,8
1747819289.0,58.90,8
1747819290.0,58.90,8
1747819291.1,58.90,8
1747819292.1,58.90,8
1747819293.1,58.91,8
1747819294.1,58.91,8
1747819295.1,58.91,8
1747819296.1,58.93,8
1747819297.1,58.94,8
1747819298.1,58.94,8
1747819299.2,58.94,8
1747819300.2,58.94,8
1747819301.2,58.95,8
1747819302.2,58.95,8
1747819303.3,58.95,8
1747819304.3,58.95,8
1747819305.3,58.95,8
1747819306.3,58.96,8
1747819307.3,58.96,8
1747819308.3,58.96,8
1747819309.3,58.96,8
1747819310.3,58.96,8
1747819311.3,58.96,8
1747819312.3,58.96,8
1747819313.3,58.96,8
1747819314.3,58.96,8
1747819315.3,58.96,8
1747819316.4,58.96,8
1747819317.4,58.96,8
1747819318.4,58.96,8
1747819319.4,58.96,8
1747819320.4,58.96,8
1747819321.5,58.96,8
1747819322.5,58.96,8
1747819323.6,58.96,8
1747819324.6,58.96,8
1747819325.6,58.96,8
1747819326.6,58.97,8
1747819327.6,58.97,8
1747819328.7,59.09,8
1747819329.7,59.15,8
1747819330.7,59.24,8
1747819331.7,59.24,8
1747819332.7,59.26,8
1747819333.8,59.26,8
1747819334.8,59.40,8
1747819335.8,59.40,8
1747819336.9,59.44,8
1747819338.0,59.44,8
1747819339.1,59.44,8
1747819340.1,59.44,8
1747819341.2,59.44,8
1747819342.2,59.44,8
1747819343.3,59.61,8
1747819344.3,59.61,8
1747819345.3,59.61,8
1747819346.3,59.74,8
1747819347.4,59.88,8
1747819348.4,60.16,8
1747819349.5,60.25,8
1747819350.5,60.34,8
1747819351.5,60.33,8
1747819352.5,60.45,8
1747819353.5,60.51,8
1747819354.5,60.61,8
1747819355.6,60.72,8
1747819356.6,61.05,8
1747819357.6,61.04,8
1747819358.6,61.27,8
1747819359.6,61.27,8
1747819360.6,61.80,8
1747819361.7,62.02,8
1747819362.7,62.54,8
1747819363.7,62.79,8
1747819364.7,62.79,8
1747819365.7,63.30,8
1747819366.7,63.36,8
1747819367.7,63.41,8
1747819368.7,63.41,8
1747819369.7,63.41,8
1747819370.7,63.41,8
1747819371.8,63.42,8
1747819372.8,63.42,8
1747819373.8,63.42,8
1747819374.8,63.42,8
1747819375.8,63.19,8
1747819376.8,63.19,8
1747819377.8,63.19,8
1747819378.8,63.19,8
1747819379.8,63.19,8
1747819380.8,63.19,8
1747819381.8,63.19,8
1747819382.8,63.19,8
1747819383.9,63.20,8
1747819384.9,63.20,8
1747819385.9,63.21,8
1747819386.9,63.21,8
1747819387.9,63.21,8
1747819388.9,63.21,8
1747819389.9,63.21,8
1747819390.9,63.21,8
1747819391.9,63.21,8
1747819393.0,63.21,8
1747819394.0,63.21,8
1747819395.0,63.21,8
1747819396.1,63.21,8
1747819397.1,63.21,8
1747819398.1,63.21,8
1747819399.1,63.21,8
1747819400.1,63.22,8
1747819401.1,63.22,8
1747819402.1,63.22,8
1747819403.1,63.22,8
1747819404.1,63.22,8
1747819405.1,63.22,8
1747819406.1,63.22,8
1747819407.2,63.22,8
1747819408.2,63.22,8
1747819409.2,63.22,8
1747819410.2,63.22,8
1747819411.3,63.22,8
1747819412.3,63.22,8
1747819413.3,63.22,8
1747819414.3,63.22,8
1747819415.3,63.23,8
1747819416.3,63.23,8
1747819417.3,63.23,8
1747819418.3,63.23,8
1747819419.3,63.23,8
1747819420.3,63.23,8
1747819421.3,63.23,8
1747819422.4,63.23,8
1747819423.4,63.23,8
1747819424.4,63.23,8
1747819425.4,63.23,8
1747819426.4,63.23,8
1747819427.4,63.23,8
1747819428.5,63.23,8
1747819429.5,63.24,8
1747819430.5,63.24,8
1747819431.5,63.24,8
1747819432.5,63.24,8
1747819433.5,63.24,8
1747819434.5,63.24,8
1747819435.5,63.24,8
1747819436.5,63.24,8
1747819437.5,63.25,8
1747819438.5,63.25,8
1747819439.5,63.25,8
1747819440.5,63.25,8
1747819441.5,63.25,8
1747819442.6,63.25,8
1747819443.6,63.25,8
1747819444.6,63.25,8
1747819445.6,63.25,8
1747819446.6,63.25,8
1747819447.6,63.26,8
1747819448.6,63.26,8
1747819449.6,63.26,8
1747819450.6,63.26,8
1747819451.6,63.26,8
1747819452.6,63.26,8
1747819453.7,63.26,8
1747819454.7,63.26,8
1747819455.7,63.26,8
1747819456.7,63.26,8
1747819457.7,63.27,8
1747819458.7,63.27,8
1747819459.7,63.27,8
1747819460.7,63.27,8
1747819461.7,63.27,8
1747819462.7,63.27,8
1747819463.8,63.27,8
1747819464.8,63.27,8
1747819465.8,63.27,8
1747819466.8,63.27,8
1747819467.8,63.27,8
1747819468.8,63.27,8
1747819469.8,63.27,8
1747819470.8,63.27,8
1747819471.8,63.27,8
1747819472.8,63.27,8
1747819473.9,63.27,8
1747819474.9,63.27,8
1747819475.9,63.27,8
1747819476.9,63.27,8
1747819477.9,63.27,8
1747819478.9,63.27,8
1747819479.9,63.27,8
1747819480.9,63.27,8
1747819481.9,63.27,8
1747819482.9,63.27,8
1747819484.0,63.28,8
1747819485.0,63.28,8
1747819486.0,63.28,8
1747819487.0,63.28,8
1747819488.0,63.28,8
1747819489.1,63.28,8
1747819490.1,63.28,8
1747819491.1,63.28,8
1747819492.1,63.28,8
1747819493.1,63.28,8
1747819494.1,63.28,8
1747819495.2,63.28,8
1747819496.2,63.28,8
1747819497.2,63.28,8
1747819498.2,63.28,8
1747819499.2,63.28,8
1747819500.2,63.28,8
1747819501.3,63.28,8
1747819502.3,63.28,8
1747819503.3,63.28,8
1747819504.3,63.28,8
1747819505.3,63.28,8
1747819506.3,63.28,8
1747819507.3,63.28,8
1747819508.3,63.28,8
1747819509.3,63.28,8
1747819510.3,63.28,8
1747819511.3,63.28,8
1747819512.4,63.29,8
1747819513.4,63.29,8
1747819514.4,63.29,8
1747819515.4,63.30,8
1747819516.4,63.30,8
1747819517.4,63.30,8
1747819518.5,63.30,8
1747819519.5,63.30,8
1747819520.5,63.30,8
1747819521.5,63.30,8
1747819522.5,63.30,8
1747819523.5,63.30,8
